phrase,topics1,topics2,topics3,topics4
он не выдал деньги,Не выдал деньги (_Local_Didnt_Give_Money),,,
банкомат не выдал деньги,Банкоматы (_Local_ATM),Не выдал деньги (_Local_Didnt_Give_Money),,
мне нужен специалист по брокерским счетам,Брокерский счет (_Local_Brokerage),_General Инвестиции (_General_Investing),,
Найдена карта клиента 3м лицом ,Разблокировать карту (_General_UnBlock),,,
Украли / Потерял телефон,Разблокировать карту (_General_UnBlock),,,
Справка для гос служащего с наличием брокеских счетов,Справка (_Local_Reference),_General Справка (_General_Reference),,
Не типовая справка,Вместо консультации на оператора,,,
Хамство оператора,Сотрудник банка (_Local_Bank_Employee),,,
Оценка  сотрудника,Сотрудник банка (_Local_Bank_Employee),,,
Претензия/Заявление,_General Статус претензии (_General_ClaimStat),,,
Жалоба,УВ Заявление (UV_Statement),,,
Не проходит оплата по карте / не проходит операция по карте / карта не проходит,Карта не работает (_General_Cardnotworking),,,
Несанкционированное списание\снятие,Мошенничество_UNI (_General_Fraud_UNI),,,
Мне не отвечают в чате / Долго отвечают в чате ,Без вопроса (_General_Whithout_Question),,,
Ошибочно перевели на банк ,Отменить перевод (_Local_Cancel_Transfer_Payment),,,
Я отправила перевод со сбербанка на свой счет в банке он нашел не тому человеку что мне делать,Вместо консультации на оператора,,,
Какую сумму я могу снять без комиссии в банкоматах,Лимиты (_Local_Limits),УВ Лимит (UV_Limit),,
Какую сумму я могу снять без комиссии в банкоматах с дебетовой карты,Лимит карты (_General_CARD_LIMIT_UKD),Дебетовая карта (_Local_Debit_Card),,
Купить билеты за мили,Вместо консультации на оператора,,,
Наличными оплатить можно без комиссии в офис банке,Вместо консультации на оператора,,,
Хочу узнать комиссию при оплате qr коду,_General Платеж по QR (_General_Payment_QR),,,
Вопрос по поводу кэшбек по тысячи рублей,Кэшбэк (_Local_Cashback),,,
Отменить комиссия за снятие наличных по кредитной карте,Комиссия (_Local_Commission),,,
Комиссия за ведение валютного счета,Вместо консультации на оператора,,,
Добавить карту в приложение/ привязать карту в приложение,Вместо консультации на оператора,,,
Добавить карту в телефон ,Бесконтактная оплата (_General_Pay),,,
Связаться с кредитным специалистом,Оператор (Operator),_General Оператор (_General_Operator),,
Связаться с кредитным отделом,Без вопроса (_General_Whithout_Question),,,
Зарегистрировать карту/авторизовать,Вместо консультации на оператора,,,
Состояние карты, УВ Карта (UV_Card),Карта (_Local_Card),,
Состояние счета ,УВ Счет (UV_Account) ,,,
График платежей по кредиту,Условия (_Local_Conditions),,,
Какой номер телефона у меня привязан ,Запрос кодового слова (_General_Codeword_request),,,
Не работает приложение не могу закрыть счет счет не закрывается нужен оператор,_General Закрытие счета (_General_Account_Off),Отказаться (_Local_Refuse),,
Блокировка мобайла/-Онлайн,_General Разблокировать карту (_General_UnBlock),,,
Где забрать карту,Готовность карт (_General_TAKE_CARD),Готовность карт (CardReadiness),,
Где получить  карту,УВ Дебетовая карта (UV_Debitcard),Дебетовая карта (_Local_Debit_Card),,
Заказать зп карту,Вместо консультации на оператора,,,
Получить зп карту\где зп карта,Готовность карт (_General_TAKE_CARD),Готовность карт (CardReadiness),,
Привязать карту к телефону\в телефон,Бесконтактная оплата (_General_Pay),,,
Не могу зайти в приложение заблокирована карта,Вместо консультации на оператора,,,
Активировать детскую карту,Активация (_General_Activation),Активация (_Local_Activate),,
Установить пин код на детскую карту,Вместо консультации на оператора,,,
Карту перевыпустить размагнитилась,Карта не работает (_General_Cardnotworking),,,
